Renal Cell Carcinoma,"Carcinoma, Renal Cell"
Lung Cancer,Lung Neoplasms
Breast Cancer,Breast Neoplasms
Pancreatic carcinoma,Pancreatic Neoplasms
Head and Neck (Squamous Cell) Carcinoma,head and neck cancer
Lung Cancer (Lung Adenocarcinoma),adenocarcinoma
Alzheimer Disease,Alzheimer Disease
"Cardiovascular diseases (CDC,CF,CCS) cardicregeneration",
Head and Neck Cancer,Cardiovascular Diseases
Gastric Cancer,Stomach Neoplasms
Colon Cancer,Colonic Neoplasms
Non small Cell lung carcinoma (NSCLC),"Carcinoma, Non-Small-Cell Lung"
Prostate Cancer,Prostatic Neoplasms
Dysplastic Liver nodules and hepatocellular carcinoma,"Carcinoma, Hepatocellular"
Gastric Cancer (recurrence),Stomach Neoplasms
Rheumatoid Arthritis,"Arthritis, Rheumatoid"
Endometrial Carcinogenesis,Endometrial Neoplasms
Male Infertility,"Infertility, Male"
Leukemia,Leukemia
Heart Stroke,Stroke
Focal ischemia (Rat brain),Brain Ischemia
Ovarian Cancer,Ovarian Neoplasms
